,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id,sentiment
0,10/5/17 2:09 PM,OPPO Mobile India,2313218292.0,,-1.0,en,<a href='http://www.symphonytools.com' rel='nofollow'>Symphony Tools</a>,"OPPO has been granted its FDI proposals from the government & can now open official OPPO stores in India!
Know more� https://t.co/7WL0IEteJv",,,48.0,9.15836411928023e+17,4
1,10/4/17 6:04 PM,SANJAY BAFNA,67243846.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"#BREAKING 

Govt of India has approved Chinese Smartphones maker�#Oppo Mobile 's Request to Open Single-Brand Retai� https://t.co/STFQn0sOYm",,,37.0,9.1553316758238e+17,4
2,10/4/17 2:40 PM,Reuters Top News,1652541.0,,-1.0,en,<a href='http://trueanthem.com/' rel='nofollow'>trueAnthem</a>,Chinese smartphones maker Oppo cleared to open own stores in India https://t.co/ZQEwLyfNfW https://t.co/eEPNUaqrHk,,,33.0,9.154816327940832e+17,4
3,10/5/17 4:15 PM,Amit sonu,2517115579.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @oppomobileindia: OPPO has been granted its FDI proposals from the government & can now open official OPPO stores in India!
Know more: h�",,,48.0,9.158679237046845e+17,4
4,10/5/17 4:14 PM,Parameterless,4613822915.0,,-1.0,en,<a href='https://parameterless.com' rel='nofollow'>Parameterless</a>,Oppo gets govt nod to open own stores in India [0.04]: https://t.co/q9bEguC9g3 https://t.co/UEPCAu6Lhc,,,0.0,9.158677917769851e+17,4
5,10/5/17 4:14 PM,OPPO Mobile India,2313218292.0,acmania97,1007008302.0,en,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,@acmania97 Dear Atharva. keep an eye on our social media pages. We'll announce it when Nougat update is released fo� https://t.co/ekpRAymI6T,,,0.0,9.158677153400627e+17,4
6,10/5/17 4:14 PM,Priya jain,3107588550.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @oppomobileindia: RT with #YourBestDiwaliGift to win an #OPPOF3 & we will donate Rs. 20 per video towards kids cricket education.
T&C- h�",,,2389.0,9.158676569300008e+17,4
7,10/5/17 4:13 PM,Priya jain,3107588550.0,oppomobileindia,2313218292.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@oppomobileindia 
 Diwali Edition  is looking so gorgeous 
#OPPOF3 is my dream phone ??
#YourBestDiwaliGift ?
I LOV� https://t.co/envG4gEbvt",,,0.0,9.158675913898477e+17,4
8,10/5/17 4:12 PM,Monique C,129156475.0,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,"RT @GaspeeProjectRI: @MSten37 @TaraGranahan Media can choose NOT to play ball by refusing to amplify her tweets, as nat'l media w/ Trump. I�",,,4.0,9.158673998864424e+17,4
9,10/5/17 4:12 PM,Priya jain,3107588550.0,oppomobileindia,2313218292.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@oppomobileindia So awesome ?
 Diwali Edition  is looking so gorgeous 
#OPPOF3 is my dream phone ??
Biggest wish to� https://t.co/42jIkLWyg7",,,0.0,9.15867328700588e+17,4
10,10/5/17 4:12 PM,Priya jain,3107588550.0,oppomobileindia,2313218292.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@oppomobileindia So awesome ?
 Diwali Edition  is looking so gorgeous 
#OPPOF3 is my dream phone ??
Biggest wish to� https://t.co/IY0t8QwKjl",,,0.0,9.158671649969112e+17,4
11,10/5/17 4:11 PM,Priya jain,3107588550.0,oppomobileindia,2313218292.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"@oppomobileindia So awesome ?
 Diwali Edition  is looking so gorgeous 
#OPPOF3 is my dream phone ??
Biggest wish to� https://t.co/KFSQAwg36e",,,0.0,9.158671178990467e+17,4
